ticker,last_close,last_date,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,rs_rating,rs_vs_bench_3m,vol_surge,near_high_pct,new_high_20d,new_high_60d,new_high_250d
6834,90.0999984741211,2026-08-25,-0.0535714142605892,-0.014223227899944124,0.1662524893596724,1.9137561548620567,,96.6,0.12847935147628098,0.6004482851913456,0.6825757460160689,False,False,False
6835,30.799999237060547,2026-08-25,-0.006451637514175879,-0.026856252502830302,-0.18172448233453786,-0.21708210071651124,,10.0,-0.2194976202179293,0.18878571096671,0.7133447817871515,False,False,False
6839,11.949999809265137,2026-08-25,-0.012396741113686827,-0.008298786712602424,0.0,0.008438770006436558,,50.0,-0.03777313788339143,0.650885309687559,0.658402207185986,False,False,False
6840,83.4000015258789,2026-08-25,0.004819295492517028,0.34516131493353064,0.3466138216392245,0.3214043066320471,,91.7,0.30884068375583307,1.5005607149334284,1.0,True,True,False
6854,89.5,2026-08-25,-0.0022296204575970036,-0.0696465401329166,-0.42443729903536975,-0.3062015503875969,,0.6,-0.4622104369187612,0.3735248082111631,0.46981627296587924,False,False,False
6855,115.5,2026-08-24,-0.025316455696202556,0.062038342863312446,0.09074206738301505,-0.007603570467984322,,64.5,0.05296892949962362,0.5409993581184831,0.9103185522277489,False,False,False
6858,22.100000381469727,2026-08-24,-0.039130418196968386,0.05741630549483401,-0.12992123175675463,-0.039130418196968386,,24.1,-0.16769436964014606,0.5840391020372854,0.6696969812566583,False,False,False
6859,107.5,2026-08-25,0.028708133971291794,0.08695650496901908,-0.1008397719936972,-0.04586933806061244,,28.4,-0.13861290987708863,0.520388926488204,0.7859565949615741,False,False,False
6862,138.0,2026-08-25,0.007299270072992803,-0.028169014084507005,-0.23853991785901318,-0.2426118593969766,,5.4,-0.2763130557424046,0.11713805657085262,0.621191155426506,False,False,False
6863,109.5,2026-08-25,0.004587155963302836,-0.12749003984063745,-0.01751476768871052,-0.047031444929791166,,42.6,-0.05528790557210195,0.48566743978055343,0.7048941685123477,False,False,False
6869,67.5999984741211,2026-08-25,-0.03151868884597875,0.018252653321977563,-0.1718372392639872,-0.3205025776595478,,6.7,-0.20961037714737862,0.9508059951524233,0.5236728430012272,False,False,False
6870,259.0,2026-08-25,0.005825242718446644,0.003875968992248069,0.2015531867645992,0.5226030952202827,,90.7,0.16378004888120778,0.10598933799893535,0.87203622003571,False,False,False
