ticker,board,period,revenue,mom_pct,yoy_pct
2399,TWSE,11506,158673.0,-17.261715429900352,-10.323331769705943
2401,TWSE,11506,734090.0,1.339897071166674,35.245576961695555
2402,TWSE,11506,1134829.0,6.502012581331466,21.700742647255957
2404,TWSE,11506,8743401.0,-5.146697470788627,50.90083303173535
2405,TWSE,11506,164735.0,9.986847112707558,23.118488512877235
2406,TWSE,11506,805136.0,-16.183091832198787,62.99850390624209
2408,TWSE,11506,29388309.0,6.211684658698802,621.3354284927444
2409,TWSE,11506,24952469.0,4.673667768197321,13.826269853876129
2412,TWSE,11506,21342447.0,9.31858688478978,11.404073246826732
2413,TWSE,11506,332034.0,1.9384747636006385,33.54704034557791
2414,TWSE,11506,5092378.0,24.189105580461714,87.26211992785133
2415,TWSE,11506,211964.0,10.274432276357205,9.196189848181215
2417,TWSE,11506,343214.0,12.621862581993707,4.958088813184058
2419,TWSE,11506,951949.0,48.92492967926234,-0.673930100750411
2420,TWSE,11506,210736.0,17.150401645495734,10.734760150703863
2421,TWSE,11506,1855096.0,9.635355720246327,18.654837189042873
2423,TWSE,11506,330769.0,15.056890320471123,26.659595325256177
2424,TWSE,11506,29231.0,453.30304751088397,94.99032752985124
2425,TWSE,11506,2408356.0,35.45956921450126,375.5658851662359
2426,TWSE,11506,249133.0,6.757254760802866,19.41150531552863
2427,TWSE,11506,499795.0,68.78978740649431,-11.684981879160238
2428,TWSE,11506,973436.0,12.181253493290003,46.62101811532535
2429,TWSE,11506,21247.0,-48.22224929937858,-24.615930459464256
2430,TWSE,11506,1426134.0,-4.246979296194142,-3.3619561063270966
2431,TWSE,11506,13533.0,-40.74349767930642,-51.01708411756189
2432,TWSE,11506,435143.0,-3.9294301023753646,42.62494427983323
2433,TWSE,11506,228368.0,-1.7235220959405784,2.5023227839294773
2434,TWSE,11506,7508.0,90.22042057258678,117.37116386797915
2436,TWSE,11506,372126.0,-6.275642688575293,18.283561926860667
2438,TWSE,11506,39768.0,-3.5997382008581194,4.561827886309258
2439,TWSE,11506,3459919.0,-7.530160973446905,0.1490403123796953
2440,TWSE,11506,403667.0,2.0304119463949,55.96076128364229
2441,TWSE,11506,1874548.0,7.463490865980493,33.154803678942116
2442,TWSE,11506,48939.0,-65.29591966982939,220.09287723199685
2444,TWSE,11506,75643.0,-7.957850163659151,-32.60241994404548
2449,TWSE,11506,3621671.0,-4.110643388130086,28.637381895574038
2450,TWSE,11506,2882213.0,8.199789172411618,16.4201706265584
2451,TWSE,11506,5068218.0,-19.525909224430173,381.5468504599107
2453,TWSE,11506,639912.0,17.691458839108364,5.7857906839495925
2454,TWSE,11506,58011756.0,22.299452730204674,2.796444693846599
2455,TWSE,11506,325993.0,1.6235173091011113,23.5533337376065
2457,TWSE,11506,729950.0,0.8836911033838432,-2.680599848544642
2458,TWSE,11506,1059324.0,5.481256665242757,7.126864539616727
2459,TWSE,11506,449445.0,-1.0429739619799991,20.96683030811963
2460,TWSE,11506,406806.0,-4.863845988344356,59.07699165913917
2461,TWSE,11506,448865.0,10.04640991254931,2.8556173995137524
2462,TWSE,11506,343791.0,-4.306061609804571,-4.572745062662207
2464,TWSE,11506,812626.0,15.809335421616005,43.05058012318926
2465,TWSE,11506,937969.0,33.1633007985803,543.886650237175
2466,TWSE,11506,119211.0,159.25579574616154,53.03080872913992
2467,TWSE,11506,869119.0,-14.977969689736536,94.07732107248208
2468,TWSE,11506,298468.0,58.738465629570534,49.982412237062945
2471,TWSE,11506,89019.0,11.399073958202978,0.36642839425440277
2472,TWSE,11506,1276360.0,5.494585422380034,36.200709196397035
2474,TWSE,11506,804738.0,-12.32291361376619,-55.06679360009827
2476,TWSE,11506,915039.0,9.099851320528856,53.76248321707817
2477,TWSE,11506,251013.0,94.18180974262573,-15.092176030849373
2478,TWSE,11506,624098.0,14.714196961286362,35.763790695549645
2480,TWSE,11506,966718.0,33.22446257119665,14.66068565030506
2481,TWSE,11506,1388856.0,9.417929226282249,27.366334018682334
2482,TWSE,11506,47535.0,57.458014508595845,4.36243084218846
2483,TWSE,11506,197699.0,9.204246669170773,34.27810719209949
2484,TWSE,11506,207294.0,-3.5114830709650993,-1.398910742740267
2485,TWSE,11506,274653.0,8.501459706952472,80.9284462655301
2486,TWSE,11506,701021.0,1.0826040751939763,35.04104084435686
2488,TWSE,11506,356840.0,26.083407827743013,36.21511024247236
2489,TWSE,11506,2509581.0,0.3712356002222134,23.43059583157911
2491,TWSE,11506,14925.0,-0.333889816360601,7.629624287877696
2492,TWSE,11506,3960936.0,7.054725822227904,25.842196863457264
2493,TWSE,11506,406283.0,9.270201578742116,32.057557791819434
2495,TWSE,11506,131722.0,-5.733076653331711,40.28649022844667
2496,TWSE,11506,61315.0,-13.219163541150662,-9.010640034428006
2497,TWSE,11506,512275.0,12.698381270432115,52.51953851879419
2498,TWSE,11506,292394.0,71.5594984539379,-8.528829338947684
2501,TWSE,11506,1211334.0,27.434661717968382,-71.57913333923022
2504,TWSE,11506,1493941.0,-21.99491014962531,-18.56768306642392
2505,TWSE,11506,120034.0,112.61890000885661,-68.2932885338743
2506,TWSE,11506,146675.0,-11.054310386649203,126.52159812203672
2509,TWSE,11506,20943.0,-0.023868627076570555,5.6819902104253925
2511,TWSE,11506,1179723.0,73.52261545272826,76.55528600440893
2514,TWSE,11506,1586845.0,-8.464857051057603,-14.622086469856823
2515,TWSE,11506,1531887.0,-32.53813175851978,-14.320926476115476
2516,TWSE,11506,727606.0,-10.59264447475455,-11.615816216833428
2520,TWSE,11506,3398502.0,45.11525308367062,52.3105385295913
2524,TWSE,11506,240696.0,-12.62446773367989,-27.93360320007665
2527,TWSE,11506,132649.0,453.0037103431025,365.123018807587
2528,TWSE,11506,807387.0,-3.168134439429937,-5.365778758178362
2530,TWSE,11506,835.0,-95.9182675856675,-96.97310229826724
2534,TWSE,11506,146136.0,23.62196731296315,-66.02412831857379
